@relation entrenar
@attribute noun {yes,no}
@attribute prepositional {yes,no}
@attribute CoordinatingConjunction {yes,no}
@attribute SubordinatingConjunction {yes,no}
@attribute ConjuntiveAdverbs {yes,no}
@attribute verbPositive real
@attribute verbNegative real
@attribute adjetivePositive real
@attribute adjetiveNegative real
@attribute numPalabras real
@attribute puntiacion {yes,no}
@attribute resul {neutro,positivo,negativo}
@data
yes,yes,no,no,no,0,1,0,1,30,yes,positivo
yes,yes,no,no,no,0,2,0,0,34,yes,neutro
yes,yes,no,no,no,0,2,0,0,72,yes,negativo
yes,yes,no,no,no,0,2,0,0,36,yes,neutro
yes,yes,no,no,no,0,2,0,0,7,yes,neutro
yes,yes,no,no,no,0,0,0,0,50,yes,neutro
yes,yes,no,no,no,0,2,1,0,73,yes,negativo
yes,yes,no,no,no,0,0,0,0,9,yes,neutro
yes,yes,no,no,no,0,2,1,0,12,yes,neutro
yes,yes,no,no,no,0,0,0,0,30,yes,neutro
yes,yes,no,yes,no,0,0,0,0,13,yes,neutro
yes,yes,no,yes,no,0,2,0,0,51,yes,negativo
yes,yes,no,no,no,0,0,1,0,32,yes,neutro
yes,yes,no,no,no,0,0,0,0,25,yes,neutro
yes,yes,no,no,no,0,0,0,0,21,yes,neutro
yes,yes,no,yes,no,0,0,0,0,24,yes,neutro
yes,yes,no,no,no,0,0,0,0,38,yes,neutro
yes,yes,no,yes,no,0,1,0,0,22,yes,neutro
yes,yes,no,no,no,0,0,1,0,28,yes,neutro
yes,yes,no,no,yes,0,0,0,0,19,yes,neutro
yes,yes,no,no,no,0,4,0,0,39,yes,negativo
yes,yes,yes,no,no,0,2,1,0,47,yes,negativo
yes,yes,no,no,yes,0,0,0,0,15,yes,neutro
yes,yes,no,no,no,0,0,0,0,19,yes,neutro
yes,yes,no,no,yes,0,2,0,0,22,yes,neutro
yes,yes,no,no,no,0,1,0,0,67,yes,negativo
yes,yes,no,no,no,0,0,0,0,33,yes,neutro
yes,yes,no,no,no,0,0,0,0,35,yes,neutro
yes,yes,no,no,no,0,1,1,0,53,yes,negativo
yes,yes,no,no,yes,0,1,0,0,27,yes,neutro
yes,yes,no,no,no,0,0,0,0,15,yes,neutro
yes,yes,no,no,no,0,0,0,0,11,yes,neutro
yes,yes,no,no,no,0,1,0,0,16,yes,neutro
yes,yes,no,yes,no,0,0,0,0,8,yes,neutro
yes,yes,no,no,no,0,0,0,0,21,yes,neutro
yes,yes,no,no,no,0,0,0,0,19,yes,neutro
yes,yes,no,no,no,0,0,0,0,5,yes,neutro
yes,yes,no,no,no,0,0,0,0,21,yes,neutro
yes,yes,no,no,no,0,1,0,0,18,yes,neutro
yes,yes,no,yes,no,0,0,0,0,56,yes,neutro
yes,yes,no,no,no,0,0,0,0,8,yes,neutro
yes,no,no,no,no,0,1,0,0,3,yes,neutro
yes,yes,no,yes,no,0,0,0,0,18,yes,neutro
yes,yes,no,yes,no,0,0,0,0,12,yes,neutro
no,yes,no,no,no,0,0,0,0,6,yes,neutro
yes,yes,no,no,no,0,0,0,0,12,yes,neutro
yes,yes,no,no,no,0,1,0,0,9,yes,neutro
yes,yes,no,yes,no,0,0,0,0,17,yes,neutro
yes,yes,no,no,no,0,0,0,0,6,yes,neutro
yes,yes,no,no,no,0,0,0,0,10,yes,neutro
yes,yes,no,no,no,0,2,0,0,22,yes,neutro
yes,yes,no,no,no,0,1,0,0,9,yes,neutro
yes,yes,no,no,no,0,1,0,0,17,yes,neutro
yes,yes,no,no,no,0,0,0,0,41,yes,neutro
yes,yes,no,yes,no,0,1,0,0,20,yes,neutro
yes,yes,no,no,no,0,1,0,0,8,yes,neutro
yes,yes,no,no,no,0,0,0,0,10,yes,neutro
yes,yes,no,no,no,0,0,0,0,16,yes,neutro
yes,yes,no,no,no,0,0,0,0,9,yes,neutro
yes,yes,no,no,no,0,0,1,0,30,yes,neutro
yes,yes,no,no,no,0,3,0,0,17,yes,negativo
yes,yes,no,no,no,0,2,1,0,49,yes,negativo
yes,yes,no,no,no,0,0,0,1,32,yes,positivo
yes,yes,no,no,no,0,0,0,0,17,yes,neutro
yes,yes,no,no,no,0,0,0,0,35,yes,neutro
yes,yes,no,no,yes,0,0,1,0,96,yes,negativo
yes,yes,no,no,no,0,0,0,0,11,yes,neutro
yes,yes,no,no,no,0,0,0,0,21,yes,neutro
yes,yes,no,no,no,0,0,0,0,28,yes,neutro
yes,yes,no,yes,no,0,1,0,0,18,yes,neutro
yes,yes,no,no,no,0,0,0,0,28,yes,neutro
yes,yes,no,no,no,0,0,0,0,29,yes,neutro
yes,yes,no,no,no,0,0,0,0,24,yes,neutro
yes,yes,no,no,no,0,0,0,0,24,yes,neutro
yes,yes,no,no,no,0,2,0,0,61,yes,negativo
yes,yes,no,no,no,0,5,0,0,87,yes,negativo
yes,yes,no,no,no,0,0,0,0,17,yes,neutro
yes,yes,no,no,no,0,1,0,0,40,yes,neutro
yes,yes,no,yes,no,0,0,0,0,35,yes,neutro
yes,yes,no,no,no,0,0,0,0,18,yes,neutro
yes,yes,no,no,no,0,1,0,0,14,yes,neutro
yes,yes,no,no,no,0,0,0,0,8,yes,neutro
yes,yes,no,yes,no,0,0,0,0,24,yes,neutro
yes,yes,no,no,no,0,0,0,0,13,yes,neutro
yes,yes,no,no,no,0,1,0,0,37,yes,neutro
yes,yes,no,no,no,0,0,0,0,13,yes,neutro
yes,yes,no,no,no,0,0,0,1,43,yes,positivo
yes,yes,no,no,no,0,0,0,0,25,yes,neutro
yes,yes,no,no,no,0,0,0,0,15,yes,neutro
yes,yes,no,no,no,0,1,0,0,21,yes,neutro
yes,yes,no,no,no,0,0,0,0,9,yes,neutro
no,yes,no,no,no,0,2,0,0,4,yes,neutro
yes,yes,no,no,no,0,0,0,0,15,yes,neutro
yes,yes,no,yes,no,0,0,1,0,51,yes,negativo
yes,yes,no,yes,no,0,0,0,0,6,yes,neutro
yes,yes,no,no,yes,0,0,0,0,16,yes,neutro
yes,no,no,yes,no,0,1,0,0,3,yes,neutro
yes,yes,no,yes,no,0,0,0,0,8,yes,neutro
yes,yes,no,no,yes,0,0,0,0,19,yes,neutro
yes,yes,no,no,yes,0,2,1,0,74,yes,negativo
yes,yes,no,no,no,0,0,0,1,15,yes,positivo
yes,yes,no,no,no,0,1,0,0,12,yes,neutro
yes,yes,no,no,no,0,0,0,0,8,yes,neutro
yes,no,no,no,no,0,1,0,0,9,yes,neutro
yes,yes,no,no,no,0,2,0,0,18,yes,neutro
yes,yes,no,no,no,0,0,0,0,23,yes,neutro
yes,yes,no,no,no,0,1,0,0,7,yes,neutro
yes,yes,no,no,no,0,0,0,0,11,yes,neutro
yes,yes,no,no,no,0,1,0,0,9,yes,neutro
yes,yes,no,no,no,0,0,0,0,27,yes,neutro
yes,yes,no,no,no,0,3,0,0,34,yes,negativo
yes,yes,no,no,no,0,0,0,0,12,yes,neutro
yes,yes,no,no,no,0,0,0,0,24,yes,neutro
yes,yes,no,no,no,0,0,0,0,12,yes,neutro
yes,yes,no,no,no,0,0,0,0,15,yes,neutro
yes,yes,no,no,no,0,0,0,0,7,yes,neutro
yes,yes,no,yes,no,0,1,0,0,28,yes,neutro
yes,no,no,no,no,0,1,0,0,3,yes,neutro
yes,yes,no,no,no,0,0,0,0,25,yes,neutro
yes,yes,no,no,no,0,1,0,0,24,yes,neutro
yes,yes,no,no,no,0,0,0,0,9,yes,neutro
yes,yes,no,no,no,0,0,0,0,11,yes,neutro
yes,yes,no,no,no,0,1,0,0,8,yes,neutro
yes,yes,no,no,no,0,0,0,0,10,yes,neutro
yes,yes,no,yes,no,0,0,0,0,28,yes,neutro
yes,yes,no,no,no,0,0,0,0,15,yes,neutro
yes,yes,no,yes,no,0,0,0,0,20,yes,neutro
yes,yes,no,no,no,0,1,0,0,15,yes,neutro
yes,yes,no,no,no,0,2,0,0,71,yes,negativo
yes,yes,no,no,no,0,3,0,0,56,yes,negativo
yes,yes,no,no,no,0,1,0,0,11,yes,neutro
yes,yes,no,no,no,0,0,0,0,58,yes,neutro
yes,yes,no,yes,no,0,3,0,0,45,yes,negativo
yes,yes,no,no,no,0,1,0,0,30,yes,neutro
yes,yes,no,no,no,0,0,0,0,8,yes,neutro
yes,yes,no,no,no,0,0,0,0,29,yes,neutro
yes,yes,no,yes,no,0,0,0,0,31,yes,neutro
yes,yes,no,no,yes,0,1,0,0,20,yes,neutro
yes,yes,no,no,no,0,0,0,0,6,yes,neutro
yes,yes,yes,no,yes,0,4,0,0,102,yes,negativo
yes,yes,no,no,yes,0,2,0,0,50,yes,negativo
yes,yes,no,no,no,0,3,0,0,109,yes,negativo
yes,yes,no,no,no,0,0,0,0,7,yes,neutro
yes,yes,no,no,no,0,0,0,0,25,yes,neutro
yes,yes,no,no,no,0,0,0,0,34,yes,neutro
yes,yes,no,no,no,0,0,0,0,25,yes,neutro
yes,yes,no,no,no,0,0,0,0,13,yes,neutro
yes,yes,no,no,no,0,0,0,0,12,yes,neutro
yes,yes,no,no,no,0,0,0,0,55,yes,neutro
yes,yes,no,no,no,0,0,1,0,41,yes,neutro
yes,yes,no,no,yes,0,0,0,0,18,yes,neutro
