@relation entrenar
@attribute noun {yes,no}
@attribute prepositional {yes,no}
@attribute CoordinatingConjunction {yes,no}
@attribute SubordinatingConjunction {yes,no}
@attribute ConjuntiveAdverbs {yes,no}
@attribute verbPositive real
@attribute verbNegative real
@attribute adjetivePositive real
@attribute adjetiveNegative real
@attribute numPalabras real
@attribute puntiacion {yes,no}
@attribute resul {neutro,positivo,negativo}
@data
yes,yes,no,yes,no,0,2,0,0,32,yes,neutro
yes,yes,no,no,no,0,0,0,0,28,yes,neutro
yes,yes,no,no,no,0,2,0,0,26,yes,neutro
yes,yes,no,no,yes,0,0,0,0,12,yes,neutro
yes,yes,no,no,no,0,0,0,0,34,yes,neutro
yes,yes,no,no,no,0,0,0,0,28,yes,neutro
yes,yes,no,no,no,0,1,0,0,35,yes,neutro
yes,yes,no,yes,no,0,0,0,1,17,yes,positivo
yes,yes,no,no,no,0,2,0,2,26,yes,positivo
yes,yes,no,no,no,0,2,0,0,16,yes,neutro
yes,yes,no,no,no,0,1,0,0,38,yes,neutro
yes,yes,no,no,no,0,1,1,1,19,yes,positivo
yes,yes,no,no,no,0,0,0,1,17,yes,positivo
yes,yes,no,no,no,0,2,0,0,33,yes,neutro
yes,yes,no,no,no,0,5,0,0,45,yes,negativo
yes,yes,no,no,no,0,3,0,0,38,yes,negativo
yes,yes,no,no,no,0,0,0,0,15,yes,neutro
yes,no,no,no,no,0,1,0,0,9,yes,neutro
yes,yes,no,no,no,0,0,0,0,10,yes,neutro
yes,yes,no,no,no,0,2,0,0,20,yes,neutro
yes,yes,no,yes,no,0,6,0,0,60,yes,negativo
yes,yes,no,no,no,0,3,0,0,40,yes,negativo
yes,yes,no,no,no,0,1,0,0,21,yes,neutro
yes,yes,no,no,no,0,0,0,0,16,yes,neutro
yes,yes,no,no,no,0,0,1,0,14,yes,neutro
yes,yes,no,no,no,0,1,0,0,11,yes,neutro
yes,yes,no,no,no,0,0,1,1,21,yes,positivo
yes,yes,no,no,no,0,0,0,0,19,yes,neutro
yes,yes,no,no,no,0,3,1,0,23,yes,negativo
yes,yes,no,no,no,0,2,1,0,26,yes,negativo
yes,yes,no,yes,no,0,2,2,0,44,yes,negativo
yes,yes,no,no,no,0,0,0,0,31,yes,neutro
yes,yes,no,no,no,0,0,0,0,13,yes,neutro
yes,yes,no,no,no,0,1,0,0,30,yes,neutro
yes,yes,no,no,no,0,1,0,0,31,yes,neutro
yes,yes,no,no,no,0,2,0,0,45,yes,negativo
yes,yes,no,no,no,0,0,0,0,10,yes,neutro
yes,yes,no,no,no,0,2,1,0,23,yes,negativo
yes,yes,no,no,no,0,0,1,0,31,yes,neutro
yes,yes,no,no,no,0,6,0,0,22,yes,negativo
yes,yes,no,no,no,0,0,0,0,16,yes,neutro
yes,yes,no,no,no,0,0,0,0,20,yes,neutro
yes,yes,no,no,no,0,1,0,0,16,yes,neutro
yes,yes,no,yes,no,0,3,0,1,29,yes,negativo
yes,yes,no,no,no,0,1,0,0,17,yes,neutro
yes,yes,no,no,no,0,1,0,0,18,yes,neutro
yes,yes,no,no,no,0,0,0,0,45,yes,neutro
yes,yes,no,no,no,0,0,0,0,17,yes,neutro
yes,yes,no,no,yes,0,1,0,0,29,yes,neutro
no,yes,no,no,no,0,0,0,0,5,yes,neutro
yes,yes,no,no,no,0,0,0,0,9,yes,neutro
yes,yes,no,no,no,0,0,0,0,26,yes,neutro
yes,yes,no,no,no,0,1,1,0,28,yes,neutro
yes,yes,no,no,no,0,0,2,0,21,yes,positivo
yes,yes,no,no,no,0,1,0,0,12,yes,neutro
yes,yes,no,no,no,0,1,0,0,33,yes,neutro
yes,yes,no,no,no,0,4,0,0,62,yes,negativo
yes,yes,no,no,no,0,0,0,0,33,yes,neutro

